nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,CANTERO CENTRAL,"CALLAO, AV. E/ DEL LIBERTADOR, AV. Y VIAS DEL FCGBM",RECOLETA,2.0,241.876,10.0,,,,,
,CANTERO CENTRAL,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,101.571,0.0,,,,,
,CANTERO CENTRAL,"ANTARTIDA ARGENTINA, AV.  E/ CASTILLO, RAMON S., PRES., AV. Y SAN MARTIN",RETIRO,1.0,312.284,9990.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ PERON, JUAN DOMINGO, TTE. GRL. Y SARMIENTO",SAN NICOLAS,1.0,460.11800000000005,9990.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ SARMIENTO Y CORRIENTES, AV.",SAN NICOLAS,1.0,126.522,10.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ CORRIENTES, AV. Y LAVALLE",SAN NICOLAS,1.0,124.189,9990.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ TUCUMAN Y VIAMONTE",SAN NICOLAS,1.0,147.459,0.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ PERON, JUAN DOMINGO, TTE. GRL. Y SARMIENTO",SAN NICOLAS,1.0,383.348,10.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ SARMIENTO Y CORRIENTES, AV.",SAN NICOLAS,1.0,117.05,0.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ CORRIENTES, AV. Y LAVALLE",SAN NICOLAS,1.0,109.621,0.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ LAVALLE Y TUCUMAN",SAN NICOLAS,1.0,159.822,0.0,,,,,
,CANTERO CENTRAL,"ALEM, LEANDRO N., AV.  E/ TUCUMAN Y VIAMONTE",SAN NICOLAS,1.0,135.903,9990.0,,,,,
