nombre,clasificac,ubicacion,barrio,comuna,area,perimeter
PASEO DE LOS VECINOS DESTACADOS DE VILLA LUGANO COMUNA 8 - PADRE MARIO FABIAN ALSINA,CANTERO CENTRAL,"RIESTRA, AV. E/ MURGIONDO Y LEGUIZAMON, MARTINIANO",VILLA LUGANO,8.0,242.757,9999.0
PASEO DE LOS VECINOS DESTACADOS DE VILLA LUGANO COMUNA 8 - GILDA,CANTERO CENTRAL,"RIESTRA, AV. E/ OLIDEN Y MURGIONDO",VILLA LUGANO,8.0,252.83,1.0
PASEO DE LOS VECINOS DESTACADOS DE VILLA LUGANO COMUNA 8 - DR. JOSE A. ALMADA,CANTERO CENTRAL,"RIESTRA, AV. E/ LARRAZABAL, AV. Y OLIDEN",VILLA LUGANO,8.0,427.443,0.0
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV.- E/ MURGIONDO Y ARGENTINA, AV.",VILLA LUGANO,8.0,34.548,2.0
,PLAZOLETA,"ARGENTINA, AV. - DELLEPIANE, LUIS J., TTE. GRAL., AV. - ZELARRAYAN",VILLA LUGANO,8.0,234.223,10.0
,PLAZOLETA,"ARGENTINA, AV. - DELLEPIANE, LUIS J., TTE. GRAL., AV. - ZELARRAYAN",VILLA LUGANO,8.0,134.97899999999998,10.0
ESPACIO RECREATIVO LEITO,PLAZOLETA,YRUPE -MONTE - AMANCAY,MATADEROS,9.0,2892.63,0.0
ELEODORO MARENCO,PLAZOLETA,YRUPE - COSQUIN - MONTE - AMANCAY,MATADEROS,9.0,2738.5959999999995,0.0
,PLAZOLETA,"ARTIGAS, MANUEL - ALBERDI, JUAN B., AV. - CARHUE",MATADEROS,9.0,40.021,1.0
,PLAZOLETA,"ARTIGAS, MANUEL - ALBERDI, JUAN B., AV. - CARHUE",MATADEROS,9.0,33.598,9999.0
IRENE BERNASCONI,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/  LAFUENTE, AV. Y PORTELA",VILLA SOLDATI,8.0,16770.87,0.0
MAYOR BERNARDO ALBERTE,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CASTAÑON Y LAFUENTE, AV.",VILLA SOLDATI,8.0,26869.349,0.0
ATAHUALPA YUPANQUI,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ VARELA Y CASTAÑON",VILLA SOLDATI,8.0,23512.467,0.0
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,15.664,9999.0
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,124.183,10.0
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,129.274,9990.0
