Nombre,Score,Reviews,Descripcion,Direccion,CLASE
PLAZOLETA JOSE LUIS ROMERO,4.0,38.0,PARQUE,PARQUE CHACABUCO,PLAZOLETAS
PLAZA CALABRIA,4.0,37.0,,,
PLAZOLETA A LA AMISTAD,4.0,35.0,PARQUE LOCAL,"C1430BIF, FRANKLIN D. ROOSEVELT 4076",PLAZOLETAS
VICENTE BELLINI,4.0,33.0,PARQUE,AV. RIVADAVIA 9175,PLAZOLETAS
PLAZOLETA 8 DE MARZO - DIA INTERNACIONAL DE LA MUJER,4.0,33.0,PARQUE,AV. JUAN B. JUSTO 8542,PLAZOLETAS
PLAZOLETA ROTARY CLUB VILLA MARTELLI,4.0,17.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA CARLOS DELLA PAOLERA,4.0,4.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA,4.0,2.0,PARQUE,VIRREY DEL PINO 1502,PLAZOLETAS
PLAZOLETA NAVARRA,4.0,2.0,PARQUE,"C1427ESN, AV. CHORROARIN 22",PLAZOLETAS
PARQUE PIONEROS DE LA ANTARTIDA ARGENTINA,4.0,2.0,,,
PLAZOLETA LIBANO,4.0,1.0,PARQUE,"C1419BKE, GUALEGUAYCHU 3701-3799",PLAZOLETAS
PLAZOLETA DE LOS CAMPEONES,4.0,1.0,PARQUE,"AV. JUAN B. JUSTO 9214, C1408AKW",PLAZOLETAS
PLAZA JULIO CESAR FUMAROLA,3.9,356.0,PARQUE,"3200,C1198AAH, PRES. TTE. GRAL. JUAN DOMINGO PERON 3102",PLAZOLETAS
PLAZOLETA MONTE ARARAT,3.9,154.0,PARQUE ESTATAL,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA. MIGUEL ANGEL ZAVALA ORTIZ,3.9,154.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA SUR,3.9,121.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA NN,3.9,121.0,PARQUE,,PLAZOLETAS
PLAZA JORGE DI PASCUALE,3.9,88.0,,,
